iter	Passed	Remaining
769	1574	470
770	1576	468
771	1578	466
772	1580	464
773	1581	461
774	1583	459
775	1585	457
776	1586	455
777	1588	453
778	1589	450
779	1590	448
780	1592	446
781	1594	444
782	1595	442
783	1597	440
784	1599	437
785	1600	435
786	1601	433
787	1603	431
788	1604	429
789	1606	427
790	1608	425
791	1610	422
792	1611	420
793	1613	418
794	1614	416
795	1616	414
796	1617	412
797	1618	409
798	1620	407
799	1622	405
800	1623	403
801	1625	401
802	1627	399
803	1628	397
804	1631	395
805	1632	392
806	1634	390
807	1635	388
808	1637	386
809	1639	384
810	1640	382
811	1642	380
812	1644	378
813	1645	376
814	1647	373
815	1649	371
816	1650	369
817	1652	367
818	1654	365
819	1656	363
820	1657	361
821	1658	359
822	1660	357
823	1661	354
824	1663	352
825	1665	350
826	1667	348
827	1668	346
828	1669	344
829	1671	342
830	1672	340
831	1674	338
832	1675	335
833	1676	333
834	1678	331
835	1680	329
836	1682	327
837	1683	325
838	1684	323
839	1686	321
840	1687	319
841	1689	317
842	1691	315
843	1693	312
844	1695	310
845	1696	308
846	1698	306
847	1700	304
848	1701	302
849	1703	300
850	1704	298
851	1706	296
852	1708	294
853	1709	292
854	1710	290
855	1713	288
856	1714	286
857	1716	284
858	1717	281
859	1719	279
860	1721	277
861	1722	275
862	1725	273
863	1726	271
864	1728	269
865	1730	267
866	1732	265
867	1733	263
868	1735	261
869	1737	259
870	1739	257
871	1740	255
872	1742	253
873	1743	251
874	1745	249
875	1747	247
876	1749	245
877	1751	243
878	1753	241
879	1754	239
880	1757	237
881	1759	235
882	1761	233
883	1763	231
884	1765	229
885	1767	227
886	1768	225
887	1770	223
888	1772	221
889	1773	219
890	1775	217
891	1776	215
892	1777	213
893	1779	210
894	1780	208
895	1782	206
896	1784	204
897	1785	202
898	1787	200
899	1789	198
900	1790	196
901	1792	194
902	1795	192
903	1796	190
904	1798	188
905	1800	186
906	1801	184
907	1803	182
908	1805	180
909	1807	178
910	1809	176
911	1810	174
912	1812	172
913	1813	170
914	1815	168
915	1816	166
916	1818	164
917	1820	162
918	1822	160
919	1823	158
920	1824	156
921	1826	154
922	1827	152
923	1829	150
924	1831	148
925	1832	146
926	1834	144
927	1835	142
928	1836	140
929	1838	138
930	1839	136
931	1841	134
932	1843	132
933	1844	130
934	1846	128
935	1847	126
936	1848	124
937	1850	122
938	1851	120
939	1853	118
940	1855	116
941	1857	114
942	1858	112
943	1859	110
944	1860	108
945	1862	106
946	1863	104
947	1865	102
948	1866	100
949	1868	98
950	1870	96
951	1871	94
952	1872	92
953	1874	90
954	1876	88
955	1877	86
956	1879	84
957	1881	82
958	1882	80
959	1884	78
960	1886	76
961	1888	74
962	1890	72
963	1891	70
964	1893	68
965	1895	66
966	1896	64
967	1898	62
968	1908	61
969	1910	59
970	1913	57
971	1915	55
972	1916	53
973	1918	51
974	1920	49
975	1922	47
976	1923	45
977	1925	43
978	1927	41
979	1929	39
980	1933	37
981	1934	35
982	1936	33
983	1938	31
984	1941	29
985	1942	27
986	1945	25
987	1946	23
988	1948	21
989	1949	19
990	1951	17
991	1953	15
992	1955	13
993	1956	11
994	1958	9
995	1960	7
996	1961	5
997	1964	3
998	1966	1
999	1968	0
